SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
573,108300,353,108300,11,835,25,835,1049,460
1953,354758,1080,354758,11,764,15,764,1049,447
396,75270,305,75270,8,772,19,772,1043,448
310,61636,215,61636,6,789,17,789,1030,439
1222,226529,870,226529,14,842,19,842,1074,436
726,160365,397,160365,10,790,8,790,1110,415
207,52328,144,52328,8,805,14,805,1007,442
335,68848,265,68848,11,795,18,795,1032,428
197,43492,216,43492,10,899,21,899,1035,469
608,108484,458,108484,9,777,13,777,1075,427
484,75916,261,75916,9,867,22,867,1071,431
332,54527,208,54527,7,774,13,774,1056,462
419,60341,207,60341,6,840,16,840,1063,435
6544,1090195,3042,1090195,10,842,28,842,1112,443
441,82580,243,82580,8,814,11,814,1044,435
218,47443,148,47443,9,812,23,812,1085,437
540,71525,287,71525,18,812,19,812,1106,433
539,80821,168,80821,8,829,15,829,1138,424
627,126196,363,126196,10,858,16,858,1014,420
355,55049,202,55049,11,834,20,834,1193,462
887,172425,484,172425,12,806,18,806,1085,425
248,46536,138,46536,10,821,25,821,1073,443
362,66717,196,66717,10,796,23,796,1086,464
562,139689,521,139689,4,807,18,807,959,464
312,63246,242,63246,12,812,22,812,1066,445
1033,144387,487,144387,7,823,17,823,1063,442
311,63943,202,63943,12,842,19,842,1053,456
242,41974,133,41974,14,787,22,787,1064,452
371,60547,252,60547,8,803,23,803,1105,470
829,162643,583,162643,6,786,13,786,1088,446
337,69245,288,69245,7,835,19,835,1035,475
358,85525,259,85525,9,843,18,843,1035,438
376,63242,264,63242,12,831,19,831,1029,446
274,42867,168,42867,11,832,22,832,1067,468
471,72167,252,72167,10,793,19,793,1130,463
714,147998,275,147998,5,868,22,868,988,428
4689,730372,1885,730372,12,770,13,770,1117,433
342,53320,203,53320,18,801,20,801,1097,449
839,178217,659,178217,15,838,22,838,1056,461
565,105760,373,105760,11,825,16,825,1018,465
831,113612,383,113612,13,818,22,818,1133,440
880,146358,430,146358,4,771,21,771,1063,461
231,44199,139,44199,13,800,18,800,1087,432
509,101214,369,101214,9,766,15,766,1031,458
541,96118,401,96118,11,798,20,798,1025,437
522,70282,275,70282,12,842,16,842,1070,459
719,108162,273,108162,4,827,15,827,1111,427
393,72215,263,72215,16,814,19,814,1017,442
614,150573,547,150573,18,810,11,810,1107,419
348,74585,211,74585,10,816,17,816,1050,461
697,84757,324,84757,7,815,16,815,1161,468
338,57354,165,57354,7,816,19,816,1031,461
1015,138006,424,138006,11,797,11,797,1116,421
