ID1,ID2,Distance
N9116|14334|1.800342,N9115|11508|0.115218,0.0111971
N9116|14334|1.800342,N9117|7215|2.020613,0.0136078
N8950|9993|5.853517,N8949|10905|0.864588,0.0087879
N8950|9993|5.853517,N8948|5828|0.942473,0.00878787
N8950|9993|5.853517,N8951|2412|1.718743,0.013631
N9116|14334|1.800342,N9118|6265|1.95571,0.013622
N9116|14334|1.800342,N9119|5509|0.440446,0.0144344
N9336|12081|0.578131,N9344|14735|1.240469,0.0128184
N9336|12081|0.578131,N9319|4959|1.958143,0.0127909
N9336|12081|0.578131,N9340|1511|0.031567,0.0095873
N9336|12081|0.578131,N9355|13668|0.31623,0.00718048
N8950|9993|5.853517,N8947|13453|0.421386,0.0104082
N9336|12081|0.578131,N9338|2411|1.488727,0.00397237
N9336|12081|0.578131,N9320|3041|0.28695,0.0111781
N9336|12081|0.578131,N9357|11921|1.133984,0.00797641
N9336|12081|0.578131,N9343|5377|1.276204,0.0136287
N9336|12081|0.578131,N9342|14606|0.272024,0.00958734
N9336|12081|0.578131,N9349|5890|3.388616,0.0111975
N9336|12081|0.578131,N9311|2296|2.263572,0.0144333
N9336|12081|0.578131,N9339|5226|0.47545,0.0103876
N9336|12081|0.578131,N9324|2902|1.183783,0.0136116
N9336|12081|0.578131,N9347|12946|0.97108,0.0103947
N9336|12081|0.578131,N9333|9333|0.178146,0.00798736
N9336|12081|0.578131,N9359|8888|5.455962,0.00636641
N9650|8009|0.142613,N9646|12501|0.175051,0.0103963
N10640|11223|0.046017,N10644|11210|3.416435,0.00557851
N9650|8009|0.142613,N9647|15202|0.667931,0.00957662
N9650|8009|0.142613,N9645|1550|0.505128,0.0144427
N9650|8009|0.142613,N9653|11479|0.079922,0.0128302
N9650|8009|0.142613,N9648|2066|2.315074,0.0103885
N12229|13660|0.915941,N12227|12008|0.896881,0.00638104
N12229|13660|0.915941,N12228|15171|2.714805,0.0136489
N12036|6489|3.334581,N12033|2845|1.919538,0.0104219
N12036|6489|3.334581,N12035|3649|1.125654,0.00799869
N12036|6489|3.334581,N12031|12211|0.033545,0.011208
N12036|6489|3.334581,N12029|4958|0.226031,0.00879544
N8109|13638|4.08819,N8107|4552|5.701012,0.0144582
N8109|13638|4.08819,N8104|5329|2.63085,0.0120143
N12313|14426|2.343065,N12312|4281|0.025633,0.0079693
N8109|13638|4.08819,N8112|2868|0.735381,0.012017
N8109|13638|4.08819,N8111|12819|2.230466,0.00637628
N8109|13638|4.08819,N8108|13009|5.559511,0.00958538
N8109|13638|4.08819,N8106|8077|2.991729,0.0128265
N12313|14426|2.343065,N12314|13433|0.867751,0.00957538
N12599|6748|0.543815,N12595|7112|1.817363,0.00877523
N12599|6748|0.543815,N12594|10633|0.857209,0.0103812
N8757|7218|0.3417,N8761|9327|1.828779,0.0144452
N12599|6748|0.543815,N12597|5339|5.017142,0.00958073
N12599|6748|0.543815,N12600|8195|0.904344,0.0136808
N12599|6748|0.543815,N12602|6074|0.311803,0.0128585
N12599|6748|0.543815,N12598|11553|0.178693,0.00317938
N11482|4477|1.294693,N11478|10884|0.502474,0.0128254
N7352|11573|0.592431,N7361|8280|0.637717,0.0144628
N7352|11573|0.592431,N7357|2134|1.358593,0.00557042
N11482|4477|1.294693,N11480|9120|0.143266,0.0136422
N7352|11573|0.592431,N7349|14425|1.783956,0.00717821
N7352|11573|0.592431,N7353|10978|0.770186,0.0031754
N7352|11573|0.592431,N7356|9323|0.075933,0.0039767
N7352|11573|0.592431,N7360|15143|2.123947,0.00717824
N7352|11573|0.592431,N7359|10152|0.042351,0.00637071
N9990|11257|2.506857,N9984|10936|2.104264,0.010407
N9990|11257|2.506857,N9989|2840|1.319474,0.0136291
N9990|11257|2.506857,N9997|8813|1.816889,0.0120241
N9990|11257|2.506857,N9994|1623|1.610064,0.0120056
N7352|11573|0.592431,N7355|11162|6.479625,0.00637073
N7352|11573|0.592431,N7354|14222|7.341464,0.0111945
N9990|11257|2.506857,N10017|2986|1.202016,0.0112213
N9990|11257|2.506857,N9993|5102|3.040703,0.0112075
N7352|11573|0.592431,N7350|10701|0.744326,0.00717328
N12394|10314|1.558713,N12397|6694|0.422541,0.0144432
N12394|10314|1.558713,N12395|13421|0.145069,0.00557835
N12394|10314|1.558713,N12429|10823|1.857086,0.0136286
N12394|10314|1.558713,N12399|3285|0.260568,0.014432
N12567|9693|0.353982,N12559|10188|1.657499,0.0144262
N12567|9693|0.353982,N12569|12811|3.371009,0.00797606
N12567|9693|0.353982,N12566|2896|0.134776,0.00398712
N12567|9693|0.353982,N12568|4247|0.262011,0.00397336
N8125|10381|6.007006,N8124|15055|0.449591,0.00957541
N8125|10381|6.007006,N8127|2497|0.315322,0.00957704
N12567|9693|0.353982,N12565|6892|3.265622,0.0071732
N12567|9693|0.353982,N12563|10355|3.801524,0.00880977
N12567|9693|0.353982,N12575|14248|1.713803,0.0144631
N12567|9693|0.353982,N12550|3567|0.538838,0.014456
N12567|9693|0.353982,N12564|14332|0.711422,0.00477035
N11066|10509|3.133358,N11069|9046|0.319946,0.0111895
N11066|10509|3.133358,N11065|10759|3.065083,0.00477505
N8064|8943|0.556424,N8063|12665|0.464042,0.00158569
N11066|10509|3.133358,N11064|9577|0.684141,0.00556556
N8064|8943|0.556424,N8067|8468|1.087589,0.00957094
N11066|10509|3.133358,N11070|7701|1.866359,0.0119972
N10645|6065|1.305817,N10655|10977|0.625608,0.0144843
N10645|6065|1.305817,N10650|11248|1.977517,0.00962456
N10645|6065|1.305817,N10649|10745|2.265577,0.0120383
N11066|10509|3.133358,N11067|13158|1.163891,0.0111823
N10645|6065|1.305817,N10652|12068|0.702467,0.00962456
N10645|6065|1.305817,N10653|2248|0.062588,0.00962456
N11204|2486|2.385467,N11195|15004|2.833371,0.0136047
N11066|10509|3.133358,N11058|1716|0.160194,0.0144387
N11204|2486|2.385467,N11207|5359|3.038252,0.0144162
N11066|10509|3.133358,N11068|2532|0.751251,0.00717092
N8917|12547|0.724521,N8915|2508|2.735587,0.0128157
N8917|12547|0.724521,N8916|5551|0.518146,0.00878128
N8917|12547|0.724521,N8919|1899|0.067469,0.00477909
N11204|2486|2.385467,N11205|14361|2.537382,0.00718009
N8917|12547|0.724521,N8908|2913|1.538069,0.0128302
N8917|12547|0.724521,N8906|1579|0.955927,0.00797814
N11204|2486|2.385467,N11213|8507|0.961492,0.0111898
N12048|11898|2.434857,N12047|4782|0.71906,0.00238234
N8917|12547|0.724521,N8907|1503|2.392652,0.0112041
N8917|12547|0.724521,N8922|14327|0.878206,0.00878806
N8917|12547|0.724521,N8925|1891|0.094262,0.00557068
N12048|11898|2.434857,N12056|7559|1.616611,0.0104014
N8917|12547|0.724521,N8913|4692|0.459154,0.0120427
N8917|12547|0.724521,N8911|12306|1.339855,0.00716834
N12048|11898|2.434857,N12055|1828|1.85965,0.0120369
N12048|11898|2.434857,N12050|12855|0.913201,0.00637246
N12048|11898|2.434857,N12043|5970|1.895157,0.00637243
N12048|11898|2.434857,N12042|3668|0.503805,0.00638117
N12048|11898|2.434857,N12018|3531|0.29744,0.0120204
N12048|11898|2.434857,N12033|2845|1.919538,0.0128079
N8917|12547|0.724521,N8905|13598|0.0222,0.0144542
N12048|11898|2.434857,N12052|7782|0.218381,0.00960067
N12048|11898|2.434857,N12031|12211|0.033545,0.0119956
N8917|12547|0.724521,N8918|5065|3.239229,0.0112197
N12048|11898|2.434857,N12029|4958|0.226031,0.0111887
N8917|12547|0.724521,N8909|10180|0.756687,0.00717827
N12048|11898|2.434857,N12044|11691|1.521514,0.00717101
N8917|12547|0.724521,N8920|1585|4.03677,0.0136118
N8917|12547|0.724521,N8921|8067|1.346739,0.00477238
N9344|14735|1.240469,N9340|1511|0.031567,0.00637335
N8917|12547|0.724521,N8912|15255|0.40984,0.00880839
N9344|14735|1.240469,N9355|13668|0.31623,0.0136283
N8917|12547|0.724521,N8910|5667|0.818759,0.0071795
N9344|14735|1.240469,N9357|11921|1.133984,0.0128185
N8082|7520|0.788034,N8086|9380|2.323513,0.00476613
N8082|7520|0.788034,N8079|6014|1.516115,0.0103831
N9344|14735|1.240469,N9343|5377|1.276204,0.00556675
N8082|7520|0.788034,N8076|1993|0.565624,0.0136191
N9344|14735|1.240469,N9342|14606|0.272024,0.00637337
N9344|14735|1.240469,N9339|5226|0.47545,0.0104074
N9344|14735|1.240469,N9347|12946|0.97108,0.00397237
N9344|14735|1.240469,N9359|8888|5.455962,0.0128081
N8082|7520|0.788034,N8072|7532|1.520915,0.0112058
N8893|5469|7.030542,N8888|4379|0.445178,0.0144366
N8082|7520|0.788034,N8088|4473|0.805569,0.00797158
N8082|7520|0.788034,N8071|11189|0.390218,0.0120078
N8082|7520|0.788034,N8085|14442|1.277,0.00318174
N8082|7520|0.788034,N8087|2826|0.916046,0.00476903
N8082|7520|0.788034,N8078|4952|0.49051,0.0119875
N8082|7520|0.788034,N8074|12943|3.061723,0.0136354
N8082|7520|0.788034,N8070|13699|1.448972,0.0128141
N8082|7520|0.788034,N8089|13960|2.138368,0.00877927
N8082|7520|0.788034,N8080|12848|1.260558,0.0144235
N8082|7520|0.788034,N8090|6778|3.312685,0.0144396
N8084|11794|23.103161,N8083|5434|25.47324,0.00317572
N8571|3724|2.83001,N8572|11345|1.487199,0.00717835
N8571|3724|2.83001,N8570|9913|0.087114,0.00959637
N8571|3724|2.83001,N8568|5108|0.687344,0.0120055
N9840|3461|3.230675,N9839|2041|3.246079,0.00796158
N11057|4366|0.076476,N11063|7536|0.304405,0.0144686
N11057|4366|0.076476,N11059|5535|0.402618,0.00476818
N9812|6480|1.558222,N9794|9549|0.689506,0.0136782
N9812|6480|1.558222,N9814|5484|0.976123,0.00478044
N11057|4366|0.076476,N11054|7626|0.225471,0.014443
N9812|6480|1.558222,N9803|3249|2.107063,0.0128564
N9812|6480|1.558222,N9795|15193|0.301108,0.0136466
N9812|6480|1.558222,N9810|2563|0.104664,0.00637593
N11057|4366|0.076476,N11058|1716|0.160194,0.00397191
N11057|4366|0.076476,N11050|14650|1.585192,0.0144565
N11057|4366|0.076476,N11068|2532|0.751251,0.0136464
N10220|11513|4.412205,N10224|8194|6.218909,0.0128305
N10220|11513|4.412205,N10217|6446|0.479369,0.0144507
N10662|14713|0.08429,N10655|10977|0.625608,0.0144317
N10220|11513|4.412205,N10218|9158|3.195124,0.0120006
N10662|14713|0.08429,N10650|11248|1.977517,0.0103852
N10662|14713|0.08429,N10649|10745|2.265577,0.012808
N10662|14713|0.08429,N10652|12068|0.702467,0.0103852
N10662|14713|0.08429,N10663|14822|2.275309,0.00717073
N10662|14713|0.08429,N10653|2248|0.062588,0.0103852
N10220|11513|4.412205,N10221|9511|6.625969,0.014442
N13039|12444|0.31419,N13038|5653|1.432257,0.0128144
N13039|12444|0.31419,N13042|11027|2.335456,0.0103949
N13039|12444|0.31419,N13036|10261|0.516944,0.0127949
N13039|12444|0.31419,N13037|9951|0.526464,0.012006
N7774|6666|0.126034,N7775|9498|3.481339,0.00717853
N7774|6666|0.126034,N7776|8726|0.158746,0.00158616
N8499|8192|0.350439,N8484|14153|2.134889,0.0136193
N8499|8192|0.350439,N8505|9972|3.218854,0.012024
N8499|8192|0.350439,N8496|12897|0.806953,0.00556891
N8499|8192|0.350439,N8501|9521|1.294226,0.0103951
N8499|8192|0.350439,N8473|12121|0.073636,0.0128013
N8499|8192|0.350439,N8513|10923|0.409083,0.0104077
N8499|8192|0.350439,N8507|13914|0.14117,0.0079722
N8499|8192|0.350439,N8519|8328|2.75314,0.0104077
N8499|8192|0.350439,N8516|7672|1.271545,0.0112222
N8499|8192|0.350439,N8493|8346|1.064159,0.0136052
N9152|5284|1.055211,N9197|3289|0.141931,0.0119994
N9152|5284|1.055211,N9180|3982|0.112404,0.0127944
N9152|5284|1.055211,N9205|14806|0.625787,0.0144325
N9152|5284|1.055211,N9182|7083|0.543272,0.0144088
N9152|5284|1.055211,N9171|4254|1.265387,0.0119958
N9152|5284|1.055211,N9149|2654|0.721894,0.0103828
N9152|5284|1.055211,N9183|4384|0.227191,0.0136066
N9152|5284|1.055211,N9187|14586|1.288437,0.0136285
N9152|5284|1.055211,N9185|12019|0.549248,0.0136066
N9152|5284|1.055211,N9194|13735|1.719688,0.0120053
N9152|5284|1.055211,N9172|5781|0.482647,0.0119958
N9152|5284|1.055211,N9155|5912|0.018497,0.0144231
N9152|5284|1.055211,N9193|13826|2.60454,0.014443
N9152|5284|1.055211,N9150|6621|0.06043,0.0103896
N9416|9681|0.663262,N9425|8635|4.675777,0.0120231
N9416|9681|0.663262,N9420|2181|0.166102,0.0112078
N9416|9681|0.663262,N9415|10876|0.664258,0.00237968
N9416|9681|0.663262,N9421|11926|0.12876,0.0120229
