param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of HIV+ RDS Seeds,40,contact->transmission,0.0027665557953102968,0.0018992828605452071,2.24,1.540908822740658
Number of HIV+ RDS Seeds,50,contact->transmission,0.003236718491696381,0.0020609226782996397,2.616,1.6506192777257873
Number of HIV+ RDS Seeds,60,contact->transmission,0.004029535423016218,0.002111367437206482,3.264,1.7118130739073119
Number of HIV+ RDS Seeds,70,contact->transmission,0.004644971785495927,0.0023688915628157386,3.76,1.926239860453521
Number of HIV+ RDS Seeds,80,contact->transmission,0.005606930446223882,0.0026038975922711297,4.536,2.0977854990441704
Number of HIV+ RDS Seeds,90,contact->transmission,0.006184879361355321,0.0029217057599849132,5.004,2.3723372441539587
Number of HIV+ RDS Seeds,100,contact->transmission,0.006775919140079525,0.0029704824490269146,5.492,2.440068851487597
Number of HIV+ RDS Seeds,110,contact->transmission,0.00737481290224758,0.0031224287494247688,5.972,2.533617177081021
Number of HIV+ RDS Seeds,120,contact->transmission,0.008285236584011844,0.003179826311472786,6.716,2.60525315468574
Number of HIV+ RDS Seeds,130,contact->transmission,0.008951511112372081,0.0033379756123065184,7.268,2.7792401839351704
Number of HIV+ RDS Seeds,140,contact->transmission,0.009584191970834705,0.00350900961063375,7.768,2.876486746015006
Number of HIV+ RDS Seeds,150,contact->transmission,0.010290918828899188,0.0035226772274507636,8.336,2.867595508435595
Number of HIV+ RDS Seeds,200,contact->transmission,0.013816830138963976,0.004480426909743409,11.184,3.62079328324609
Number of HIV+ RDS Seeds,300,contact->transmission,0.021910270800699884,0.004673285236594965,17.752,3.8536341289748823
Number of HIV+ RDS Seeds,400,contact->transmission,0.030008632353178997,0.0061276753951678255,24.284,4.944830027412469
Number of HIV+ RDS Seeds,500,contact->transmission,0.03631478346511321,0.006981996102822145,29.424,5.812075704943975
Number of HIV+ RDS Seeds,600,contact->transmission,0.04630483946466619,0.008172488800779053,37.512,6.78069730927432
Number of HIV+ RDS Seeds,10,social->genetic,0.0019560804435677054,0.0003784722262265572,198.652,173.4998642535492
Number of HIV+ RDS Seeds,20,social->genetic,0.0020469000951125614,0.0003795434837637776,208.608,180.392012949576
Number of HIV+ RDS Seeds,30,social->genetic,0.0020880931716835433,0.00038890273760242705,210.284,171.03722210092164
Number of HIV+ RDS Seeds,40,social->genetic,0.002165290229633381,0.0004015454787236634,215.796,165.08432507055295
Number of HIV+ RDS Seeds,50,social->genetic,0.002261424217387447,0.00040302575200820007,229.656,205.4269545702316
Number of HIV+ RDS Seeds,60,social->genetic,0.002316964829020453,0.00041840205146178233,232.488,180.29034875999324
Number of HIV+ RDS Seeds,70,social->genetic,0.002395750965976667,0.0003932744710238816,239.868,192.4268031642162
Number of HIV+ RDS Seeds,80,social->genetic,0.002488054724997408,0.0004559675906384291,251.432,198.6042632372226
Number of HIV+ RDS Seeds,90,social->genetic,0.002552474722079257,0.0004362661084103351,257.9,210.75113760072566
Number of HIV+ RDS Seeds,100,social->genetic,0.0026105086485011596,0.0004631921851556937,261.428,208.91312265149836
Number of HIV+ RDS Seeds,110,social->genetic,0.002742427430690068,0.0004983661992846607,271.728,196.95992997561711
Number of HIV+ RDS Seeds,120,social->genetic,0.0028198371881653903,0.00046830061874131063,284.388,228.4523001766452
Number of HIV+ RDS Seeds,130,social->genetic,0.0029173378056450267,0.0004716254413177191,298.976,262.58190231621063
Number of HIV+ RDS Seeds,140,social->genetic,0.003018174637918572,0.0004955849040697571,299.296,216.78154991603876
Number of HIV+ RDS Seeds,150,social->genetic,0.0030387001725093593,0.0004880636080512654,306.864,247.75468008495824
Number of HIV+ RDS Seeds,200,social->genetic,0.003523758621763263,0.0005260993213158414,356.288,280.9292812363994
Number of HIV+ RDS Seeds,300,social->genetic,0.004503764127765881,0.000615258274054537,451.668,341.79272926146336
Number of HIV+ RDS Seeds,400,social->genetic,0.005592613463367348,0.0007534990354593495,564.932,451.74811496673675
Number of HIV+ RDS Seeds,500,social->genetic,0.00670152574161861,0.00084308627524934,676.572,520.3372260524899
Number of HIV+ RDS Seeds,600,social->genetic,0.008031253169134653,0.000832315863190357,813.936,631.3292674223175
Number of HIV+ RDS Seeds,10,social->transmission,0.005578222638670731,0.002363001062091458,4.512,1.9062675572961945
Number of HIV+ RDS Seeds,20,social->transmission,0.005588081194017582,0.0025599255792414293,4.528,2.084518169745709
Number of HIV+ RDS Seeds,30,social->transmission,0.005491419392133374,0.0026961992987964496,4.456,2.218121727949122
Number of HIV+ RDS Seeds,40,social->transmission,0.006162299111401861,0.0028668479943922565,4.996,2.3434982398115856
Number of HIV+ RDS Seeds,50,social->transmission,0.005829477273246409,0.0028058804727265885,4.72,2.268391500601252
Number of HIV+ RDS Seeds,60,social->transmission,0.006031967584652084,0.002558408300632449,4.884,2.0857957714023683
Number of HIV+ RDS Seeds,70,social->transmission,0.006395692825530036,0.0026285868782328146,5.18,2.14
Number of HIV+ RDS Seeds,80,social->transmission,0.006598243031994967,0.0029542654345462178,5.34,2.4017493624439665
Number of HIV+ RDS Seeds,90,social->transmission,0.006404669426399391,0.002748892919262015,5.188,2.227253016610372
Number of HIV+ RDS Seeds,100,social->transmission,0.006728844989674873,0.0027758354738471143,5.444,2.248302470754324
