param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of HIV+ RDS Seeds,100,social->genetic,0.017166683452676423,0.002834554103121864,1926.964,2135.0856869699633
Number of HIV+ RDS Seeds,110,social->genetic,0.0199446132226045,0.003051775275666167,2228.992,2324.0126798139463
Number of HIV+ RDS Seeds,120,social->genetic,0.02364777840839476,0.003450080229635188,2660.668,2924.7516034316486
Number of HIV+ RDS Seeds,130,social->genetic,0.027142073837293588,0.00372383581080362,3065.544,3430.619406472248
Number of HIV+ RDS Seeds,140,social->genetic,0.03043832374573312,0.004081728311402398,3340.82,3221.5815550130033
Number of HIV+ RDS Seeds,150,social->genetic,0.03454170583013453,0.004128434354937733,3899.944,4132.115793738602
Number of HIV+ RDS Seeds,20,social->transmission,0.037119599603691975,0.01267315794403544,30.024,10.320824773243658
Number of HIV+ RDS Seeds,30,social->transmission,0.05687062666570152,0.024902323271041978,46.004,20.28625110758516
Number of HIV+ RDS Seeds,40,social->transmission,0.020356055657851802,0.027235266083847548,16.472,22.082780984287282
Number of HIV+ RDS Seeds,50,social->transmission,0.012656728572341883,0.006717225502437491,10.224,5.35367387874906
Number of HIV+ RDS Seeds,60,social->transmission,0.01694915976958854,0.005363518041705744,13.728,4.405225987392701
Number of HIV+ RDS Seeds,70,social->transmission,0.021413432447994516,0.005784779570346812,17.328,4.741773507876562
Number of HIV+ RDS Seeds,80,social->transmission,0.026841354238806275,0.007381176470598619,21.728,6.060199336655519
Number of HIV+ RDS Seeds,90,social->transmission,0.03348302645021205,0.007678585280283179,27.08,6.274519901952658
Number of HIV+ RDS Seeds,100,social->transmission,0.03975264158457067,0.009100791754806653,32.16,7.439247273750215
Number of HIV+ RDS Seeds,110,social->transmission,0.045817860578321205,0.009033250626532686,37.076,7.45105522728157
Number of HIV+ RDS Seeds,120,social->transmission,0.053055673233557914,0.009912752938017117,42.932,8.206788409603357
Number of HIV+ RDS Seeds,130,social->transmission,0.05981036467136506,0.010564473639181506,48.352,8.539560644435989
Number of HIV+ RDS Seeds,140,social->transmission,0.06697984573879007,0.010327676321667064,54.192,8.6094794267714
Number of HIV+ RDS Seeds,150,social->transmission,0.07402699710688504,0.01183639628475087,59.924,10.055755764734942
