param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of RDS Seeds,70,contact->transmission,0.00462793706830995,0.0024868999737872157,3.748,2.017051313179712
Number of RDS Seeds,80,contact->transmission,0.005423867965019321,0.0028383228210538116,4.38,2.267068591816313
Number of RDS Seeds,90,contact->transmission,0.0064246169939832015,0.0027357005064567786,5.196,2.2048999977323236
Number of RDS Seeds,100,contact->transmission,0.006927980472043206,0.0029356979913077565,5.62,2.390732105443853
Number of RDS Seeds,110,contact->transmission,0.007671616071329867,0.002979085530742464,6.212,2.4230262070394533
Number of RDS Seeds,120,contact->transmission,0.00827420342716865,0.0031130238033801605,6.7,2.5381095327034253
Number of RDS Seeds,130,contact->transmission,0.00884952717875083,0.00335213262581432,7.164,2.7160824729746333
Number of RDS Seeds,140,contact->transmission,0.00967451933668307,0.0036083950420582075,7.828,2.9131453791391877
Number of RDS Seeds,150,contact->transmission,0.010403816665124764,0.0035873460423622937,8.424,2.9127691291964766
Number of RDS Seeds,200,contact->transmission,0.013971504906994892,0.00447018275433047,11.304,3.6016085295323257
Number of RDS Seeds,300,contact->transmission,0.021537304317737926,0.00534057792924912,17.448,4.413535544209426
Number of RDS Seeds,400,contact->transmission,0.029270477701029435,0.005962012891763168,23.692,4.839538821003505
Number of RDS Seeds,500,contact->transmission,0.03761044332307026,0.007241751839723181,30.436,5.824594749851701
Number of RDS Seeds,600,contact->transmission,0.044932111562059875,0.0069187465993109515,36.376,5.660620460691566
Number of RDS Seeds,10,social->genetic,0.001850413692564345,0.0003800833702121677,188.396,174.34276349765713
Number of RDS Seeds,20,social->genetic,0.0019008068382566964,0.00034956349196214805,190.452,149.63609088719207
Number of RDS Seeds,30,social->genetic,0.0018259596971580204,0.0003355188325128318,184.72,146.80452854050517
Number of RDS Seeds,40,social->genetic,0.0018413154652615355,0.00037558861675265963,185.92,152.7616496375972
Number of RDS Seeds,50,social->genetic,0.0018463893735046857,0.00036457316789758395,186.18,151.84132375608428
Number of RDS Seeds,60,social->genetic,0.001831469586688503,0.0003515770861057387,181.808,135.08650241974584
Number of RDS Seeds,70,social->genetic,0.001840582490282557,0.00036245609069984487,182.324,134.45247124541817
Number of RDS Seeds,80,social->genetic,0.001833374774488865,0.0003544068628926107,187.3,168.78754100940034
Number of RDS Seeds,90,social->genetic,0.0018302849744256666,0.00037608564821008165,184.86,162.38460641329274
Number of RDS Seeds,100,social->genetic,0.0018253920491001256,0.00037605668623185985,184.86,146.95093194668755
Number of RDS Seeds,110,social->genetic,0.0018303102865875815,0.0004041488820817734,184.248,145.57706720496878
Number of RDS Seeds,120,social->genetic,0.0018070437392118035,0.00037722309077666634,182.048,154.0208742216457
Number of RDS Seeds,130,social->genetic,0.0018092587203349657,0.0003849418688510297,180.184,143.2005801105568
Number of RDS Seeds,140,social->genetic,0.001822521652656444,0.0003554023726315342,182.6,142.89565423762895
Number of RDS Seeds,150,social->genetic,0.001800580457216427,0.0003646005602743413,182.22,146.10233263024926
Number of RDS Seeds,200,social->genetic,0.0017303839396277004,0.00034018568018974465,174.676,138.2207619136865
Number of RDS Seeds,300,social->genetic,0.0016649664590791223,0.0003217747052426096,169.408,138.36540584987276
Number of RDS Seeds,400,social->genetic,0.0016027569773248299,0.00034990483544974015,162.572,138.09905436316353
Number of RDS Seeds,500,social->genetic,0.0015163118697058197,0.0003282652037145675,153.624,124.52856147888323
Number of RDS Seeds,600,social->genetic,0.0014752358734187224,0.0003161183672377802,149.952,122.73339275030247
Number of RDS Seeds,10,social->transmission,0.005267183682719615,0.002783784925381551,4.264,2.2455075150174846
